icao
EBMB
EDDF
EDDM
EDDP
EGGW
EGKK
EGLF
EGLL
EHAM
EKCH
ELLX
ENGM
ESSA
KEWR
KLAX
KSFO
LEBL
LFPG
LHBP
LIMC
LLBG
LOWW
LPPR
LSGG
LSZH
LTFJ
LTFM
NZAA
OBBI
OERY
OMAA
OMAD
OMDB
OMSJ
OPLA
OPSW
OTHH
PAFA
PANC
PHNL
PTRO
RCDI
RCKH
RCMT
RCTP
RJAA
RJBB
RJCC
RJCJ
RJFF
RJTA
RJTT
RJTY
RKPK
RKSI
ROTM
RP14
RPLC
RPLL
RPLP
RPLR
RPLS
RPLY
RPUB
RPUK
RPUL
RPUN
RPUU
RPUX
RPVE
RPVJ
RPVK
RPVL
RPVS
RPVU
RPVV
UGTB
VABB
VAJJ
VECC
VGZR
VHHH
VIDP
VIDX
VMMC
VNKT
VOBL
VOCI
VOMM
VOTV
VOYK
VTBD
VTBK
VTBS
VTBU
VTCC
VTCN
VTCO
VTCR
VTCT
VTPH
VTPI
VTPN
VTSA
VTUJ
VTUN
VTUQ
VV01
VVCI
VVGL
VVNS
VYHB
VYHH
VYKP
VYMD
VYML
VYMY
VYNT
VYST
VYTL
VYYY
WARC
WARQ
WARS
WBAK
WBGO
WBKB
WBKE
WBKK
WBKL
WBKO
WBKS
WBMU
WBSB
WI1B
WIAT
WIBB
WICC
WICD
WICM
WIDD
WIHL
WIHP
WIII
WIML
WIMN
WIMP
WIPA
WIPD
WIPP
WIPU
WIPY
WMAV
WMAZ
WMBA
WMBB
WMBE
WMKB
WMKD
WMKI
WMKJ
WMKK
WMKM
WMKP
WMSA
WRLB
WSAC
WSAG
WSAT
WSSL
WSSS
YBBN
YBCG
YMML
YPAD
YPPH
YSSY
YTBF
ZGGG
ZGNN
ZGSZ
ZPSM
ZSFZ
------------------
CYVR
EFHK
EPWA
FACT
FAOR
KJFK
KSEA
LCLK
LEMD
LFPE
LGAV
LIRF
LTCG
NWWT
NWWW
OJAI
OM11
OMDW
OPSP
RCPO
RCSS
RJDB
RJGG
RKTU
ROAH
RPLX
RPUF
RPUM
RPVI
SBGL
VDSY
VOAR
VQ10
VTBP
VTCP
VTPT
VTPY
VTSM
VTSS
VTUO
VVKP
VVNB
VYAN
VYAS
VYDW
VYEL
VYPL
VYPW
VYSW
WARJ
WBKR
WIAJ
WIDN
WIHH
WIIK
WIME
WIMH
WIMR
WIMT
WIPR
WMAD
WMAN
WMBF
WMBH
WMKA
WMKL
WSAP
YPDN
ZGSD
ZSAM
ZSQZ
CYYZ
EDHI
EGCC
FAHG
LEIB
NZCH
OEDF
OMRK
OPLH
RJOI
RKSG
RKSS
RKTN
ROIG
RPLO
RPLU
UBEE
UG28
VA1P
VE89
VIDN
VLSB
VLSN
VTBL
VTSE
VYKL
VYTO
WBGJ
WBGM
WBGW
WBKN
WBKP
WIBD
WIDE
WIDS
WIMK
WIMS
WMAB
WMAC
WMAJ
WMBT
WMKF
YAMB
YMEN
ZGBH
ZSLQ
ZSYW
